Index, Name, Location, Other
0,"Default","your Current BGM playing",""
1,"N/A","N/A",""
2,"Prelude ~ Rebirth","Start-up (ARR)","Intro/Title music"
3,"Dreams Aloft","1.0/Old launcher theme","Heroic-ish music is in game"
4,"Prelude ~ Discoveries","Character Select","Character Creation"
5,"Behind Closed Doors","Inn",""
6,"Wailers and Waterwheels","Gridania","Daytime Theme"
7,"Dance of the Fireflies","Gridania","Nighttime Theme"
8,"Serenity","Central/North Shroud","Intro/Daybreak"
9,"Serenity","Black Shroud settlements",""
10,"Serenity","The Black Shroud",""
11,"Serenity","South Shroud",""
12,"Serenity","Sanctum of the Twelve",""
13,"The Land Bends","The Black Shroud","Gridania Combat BGM"
14,"Tenacity","Any Leve Locations","Repeated BGM during Leve"
15,"Slumber Disturbed","The Tam-Tara Deepcroft",""
16,"The Promise of Plunder","Early ARR Dungeons",""
17,"The Dark's Embrace*","ARR HM Dungeons","Transitions ""The Dark's Kiss"" combat"
18,"A Victory Fanfare Reborn","Any Locations",""
19,"N/A","N/A",""
20,"Victory! NoVocals","N/A",""
21,"Victory!","N/A",""
22,"Frontline Battle Start","PvP Maps",""
23,"The Hero of Hatchingtide","Various","Chiptune Victory"
24,"Greenwrath","East Shroud",""
25,"I Am the Sea","Limsa Lominsa","Daytime Theme"
26,"A Sailor Never Sleeps","Limsa Lominsa","NightTime Theme"
27,"On Westerly Winds","Middle/Lower La Noscea","Intro/Daybreak"
28,"On Westerly Winds","La Noscea",""
29,"On Westerly Winds","Eastern La Noscea",""
30,"On Westerly Winds","Eastern La Noscea",""
31,"On Westerly Winds","La Noscean settlements",""
32,"Currents","La Noscea",""
33,"The Land Breathes","La Noscea","La Noscea Combat BGM"
34,"N/A","N/A",""
35,"From the Depths","Sastasha",""
36,"Torn from the heavens","Various",""
37,"A Fine Death","Dungeon bosses",""
38,"Nemesis","ARR Dungeon bosses",""
39,"Pennons Aloft","Instanced battles",""
40,"Brothers in Arms","Guildhests",""
41,"The Maiden's Lament","Haukke Manor",""
42,"A Thousand Screams","The Thousand Maws of Toto-Rak",""
43,"Lipflaps on Longstops","Brayflox's Longstop",""
44,"A New Hope","Ul'dah","Daytime Theme"
45,"Sultana Dreaming","Ul'dah","Nighttime Theme"
46,"To the Sun","Western/Central Thanalan","Intro/Daybreak"
47,"To the Sun","Thanalan",""
48,"To the Sun","Southern Thanalan",""
49,"To the Sun","Thanalan settlements",""
50,"To the Sun","Thanalan",""
51,"Fleeting Rays","Eastern Thanalan",""
52,"The Land Burns","Thanalan","Thanalan Combat BGM"
53,"Below","Copperbell Mines",""
54,"The Ludus","Halatali",""
55,"The Gift of Life","",""
56,"Calling","",""
57,"Discordance","Northern Thanalan",""
58,"Beyond the Unknown","review","Very short"
59,"Slither","Mysterious locations","Very short"
60,"Intertwined","Mor Dhona",""
61,"Bo-down","Chocobo porters",""
62,"Eorzea de Chocobo","Chocobo mounts",""
63,"Into the Adder's Den","New Gridania","The Order of the Twin Adder"
64,"Maelstrom Command","Upper Limsa Lominsa","The Maelstrom"
65,"The Hall of Flames","Ul'dah - Steps of Nald","The Immortal Flames"
66,"The Waking Sands","Western Thanalan","The Scion HQ"
67,"When a Tree Falls","Gathering leves",""
68,"The Tug of Fate","Certain FATEs",""
69,"To the Fore","Certain FATEs/Boss battles",""
70,"Whisper of the Land ","Cutscenes (1.0)",""
71,"On Windy Meadows","Cutscenes (1.0)",""
72,"Twilight Over Thanalan","Cutscenes (1.0)",""
73,"Dewdrops & Moonbeams","The Lotus Stand (Kan-E-Senna)",""
74,"The Sands' Secrets","Eorzean Alliance (Raubahn)",""
75,"Ripples in the Sea","Eorzean Alliance (Merlwyb)",""
76,"Imperial Will","Empire Cutscenes",""
77,"Defender of the Realm","Cutscenes (Heroic)",""
78,"Fracture","Cutscenes (Suspense)",""
79,"One Blood","Cutscenes (Tension)",""
80,"Conundrum","Cutscenes (Mysterious/Hildibrand)",""
81,"Prelude ~ Rebirth (Edit)","Cutscenes",""
82,"Return of the Hero","Cutscenes (Resolution)",""
83,"Kiss of Chaos","Cutscenes (Tension)",""
84,"Forever Lost","Cutscenes (Sad)",""
85,"Machinations","Wolves' Den",""
86,"The Only Path","Cutscenes (Positive)",""
87,"Daring Dalliances","Cutscenes (Positive)",""
88,"Bliss","Cutscenes (Comedic)",""
89,"A World Apart","Cutscenes (Heroic)",""
90,"Relics","Cutscenes (esp. Job quests)",""
91,"Breaking Boundaries","Job quest battles",""
92,"The Echo","The Echo cutscenes",""
93,"Tranquility","Cutscenes (Resolution)",""
94,"Without Shadow","Ascian Cutscenes",""
95,"The Seventh Sun","Cutscenes",""
96,"Sacred Bonds","Cutscenes (Sad)",""
97,"Canticle","Cutscenes (Exposition)",""
98,"Where the Heart Is (1.0)","Cutscenes (Resolution)",""
99,"Dreams Aloft","Cutscenes (Resolution)",""
100,"Supply & Demand","Cutscenes (Comedic)","1.0 track"
101,"By Design","Cutscenes (Comedic)","1.0 track"
102,"Decisions","Cutscenes (Mysterious)","1.0 track"
103,"Agent of Inquiry","Hildibrand Theme",""
104,"","",""
105,"Nature's Bounty","Cutscenes, Eternal Bonding","1.0 track"
106,"Prelude","Various, Eternal Bonding",""
107,"Pennons Aloft","Instanced battles, Fenrir battle","1.0 track"
108,"Battle Theme 1.x","Hildibrand FATEs/Hall of the Novice",""
109,"","",""
110,"Salt Swept","Aleport/Moraby Drydocks",""
111,"Paris Themed","Limsa Lominsa",""
112,"My Soul to Keep","Haukke Manor/Tam-Tara HM",""
113,"From Fear to Fortitude","Instanced battles",""
114,"Damnation","Cutscenes (Suspense)",""
115,"Hard to Miss","Boss FATEs",""
116,"A Fell Air Falleth","Later ARR Dungeons",""
117,"Skullduggery","Instanced battles/Qarn HM",""
118,"Another Round","Bars and Taverns",""
119,"Ruby Sunrise","Costa del Sol",""
120,"Primal Judgement ","The Bowl of Embers",""
121,"The Rider's Boon","ARR mounts",""
122,"Cracks in the Wall","Amdapor Keep",""
123,"A Tonberry's Tears","The Wanderer's Palace",""
124,"Echoes of Ages Past","The Sunken Temple of Qarn",""
125,"Abomination","Cutter's Cry",""
126,"Cold Salvation","The Stone Vigil",""
127,"The Darkhold","Dzemael Darkhold",""
128,"Miser's Folly","The Aurum Vale",""
129,"Engage","Enterprise Cutscenes (Diadem)",""
130,"Fever Dream","Cutscenes (Tension)","Excerpt from a longer 1.0 track"
131,"Serving the Light","Warrior of Light",""
132,"Answers","ARR End Credits",""
133,"Opening Theme","ARR End Credits Special/1.0 players","1.0 ending"
134,"A Curious Breed of Botherment","Sylph Theme song",""
135,"Flightless Wings","Ixal Theme song",""
136,"Quick as Silver, Hard as Stone","Kobold theme song",""
137,"Battle Drums ","Sahagin theme song","1.0 track"
138,"Pitfire","Amalj'aa theme song","1.0 track"
139,"Beast Alliance","Beast Tribe Alliance",""
140,"One Eyed Mercernary","Beast Tribe Rival",""
141,"Fealty","Coerthas Central Highlands",""
142,"The Dragon's Dirge","Ishgard",""
143,"Undying Faith","Ishgard",""
144,"The Land Breaks","Coerthas Central Highlands","Coerthas Combat BGM"
145,"The Land Bleeds","Mor Dhona","Mor Dhona Combat BGM"
146,"Primal Timbre*","The Binding Coil of Bahamut","Transitions into ""Spiral"" in combat"
147,"Calamity Unbound","The Binding Coil of Bahamut (Bosses)",""
148,"The Emperor's Wont","Imperial Castrums",""
149,"Penitus","The Praetorium",""
150,"Ultima","Ultima Weapon Phase 2",""
151,"Steel Reason","Cape Westwind/Garlean boss fights",""
152,"Bite of the Black Wolf","Gaius van Baelsar theme",""
153,"The Corpse Hall","Odin FATE",""
154,"Thunderer","Various battles",""
155,"Fallen Angel","The Howling Eye",""
156,"Under the Weight","Titan Phase 4",""
157,"Weight of a Whisper","Titan Phase 1",""
158,"Weight of His Will ","Titan Phase 2",""
159,"Weight of the World","Titan Phase 3",""
160,"Heartless","Titan's Heart phase",""
161,"Flight","Ultima escape music?",""
162,"The Maker's Ruin","Ultima Weapon Phase 1",""
163,"Blinded by light (FFXIII)","",""
164,"More FFXIII music","",""
165,"Torn From The Heavens","","1.0 Track"
166,"Ruby Moonrise","Costa del Sol events","Fast ""Costa Del Sol"" music"
167,"Serenity (short)","The Shroud",""
168,"On Westerly Winds (short)","La Noscea",""
169,"To the Sun (short)","Thanalan",""
170,"Crystal Rain (short)","Mor Dhona",""
171,"To the Fore","",""
172,"The Rider's Boon","Default 1.0 mount theme/Generic",""
173,"Thunderer","(Twintania/Ascian Boss Theme)",""
174,"All Saint's Wake","Event",""
175,"Starlight Celebration","Event",""
176,"Heavensturn","Event",""
177,"Reign of Pain","Shantotto theme (FFXI event)",""
178,"The Seven Jesters ","Thornmarch Phase 1",""
179,"Good King Moggle Mog XII","Thornmarch Phase 2",""
180,"Hubris","Labyrinth of the Ancients",""
181,"Tumbling Down","Labyrinth of the Ancients battle",""
182,"Agent of Inquiry (short)","Hildibrand episode theme",""
183,"Frontiers Within ","Revenant's Toll","Daytime theme"
184,"Reflections","Revenant's Toll","Nighttime theme"
185,"A Light in the Storm ","Pharos Sirius",""
186,"Where the Heart Is","Housing Districts (day)",""
