Index,0 [STRING(0x0)][0x0],1,0,0,0
0,"",0,"0,0,0,0","0,0,0,0",0
1,"Dated Bronze Gladius",2,"201,1,4,0","0,0,0,0",2
2,"Dated Bronze Dagger",2,"201,40,1,0","0,0,0,0",2
3,"Dated Bronze Spatha",2,"201,39,2,0","0,0,0,0",2
4,"Dated Blinding Dagger",2,"201,40,5,0","0,0,0,0",2
5,"Dated Silencing Dagger",2,"201,40,5,0","0,0,0,0",2
6,"Dated Brass Gladius",2,"201,1,1,0","0,0,0,0",2
7,"Dated Brass Dagger",2,"201,40,3,0","0,0,0,0",2
8,"Dated Paralyzing Dagger",2,"201,40,5,0","0,0,0,0",2
9,"Dated Sleeping Dagger",2,"201,40,5,0","0,0,0,0",2
10,"Dated Ash Macuahuitl",2,"201,5,1,0","0,0,0,0",2
11,"Dated Iron Gladius",2,"201,1,5,0","0,0,0,0",2
12,"Dated Iron Dagger",2,"201,40,2,0","0,0,0,0",2
13,"Dated Iron Spatha",2,"201,39,3,0","0,0,0,0",2
14,"Dated Maddening Dagger",2,"201,40,5,0","0,0,0,0",2
15,"Dated Poison Dagger",2,"201,40,5,0","0,0,0,0",2
16,"Dated Elm Macuahuitl",2,"201,5,9,0","0,0,0,0",2
17,"Dated Bee Spatha",2,"201,39,5,0","0,0,0,0",2
18,"Dated Iron Falchion",2,"201,4,1,0","0,0,0,0",2
19,"Dated Iron Shortsword",2,"201,43,1,0","0,0,0,0",2
20,"Dated Walnut Macuahuitl",2,"201,5,5,0","0,0,0,0",2
21,"Dated Iron Longsword",2,"201,24,2,0","0,0,0,0",2
22,"Dated Toothed Falchion",2,"201,44,1,0","0,0,0,0",2
23,"Dated Plumed Walnut Macuahuitl",2,"201,5,6,0","0,0,0,0",2
24,"Dated Oak Macuahuitl",2,"201,5,2,0","0,0,0,0",2
25,"Dated Bone Hora",1,"301,9,2,0","351,9,2,0",2
26,"Dated Leather Himantes",1,"301,2,1,0","351,2,1,0",2
27,"Dated Bronze Knuckles",1,"301,3,1,0","351,3,1,0",2
28,"Dated Dodoskin Cesti",1,"301,2,2,0","351,2,2,0",2
29,"Dated Brass Knuckles",1,"301,3,6,0","351,3,6,0",2
30,"Dated Tortoiseshell Hora",1,"301,9,3,0","351,9,3,0",2
31,"Dated Toadskin Cesti",1,"301,2,5,0","351,2,5,0",2
32,"Dated Spiked Knuckles",1,"301,3,2,0","351,3,2,0",2
33,"Dated Boarskin Himantes",1,"301,2,3,0","351,2,3,0",2
34,"Dated Iron Baghnakhs",1,"301,4,1,0","351,4,1,0",2
35,"Dated Crabshell Hora",1,"301,9,4,0","351,9,4,0",2
36,"Dated Smothering Baghnakhs",1,"301,4,1,0","351,4,1,0",2
37,"Dated Disabling Baghnakhs",1,"301,4,1,0","351,4,1,0",2
38,"Dated Peiste Cesti",1,"301,2,4,0","351,2,4,0",2
39,"Dated Jade Hora",1,"302,1,7,0","352,1,7,0",2
40,"Dated Bronze War Axe",3,"401,31,1,0","0,0,0,0",2
41,"Dated Bronze Labrys",3,"401,2,1,0","0,0,0,0",2
42,"Dated Spiked Bronze Labrys",3,"401,2,4,0","0,0,0,0",2
43,"Dated Storm Axe",3,"401,31,4,0","0,0,0,0",2
44,"Dated Iron War Axe",3,"401,31,2,0","0,0,0,0",2
45,"Dated Iron Labrys",3,"401,2,2,0","0,0,0,0",2
46,"Dated Spiked Iron Labrys",3,"401,2,5,0","0,0,0,0",2
47,"Dated Inferno Axe",3,"401,31,5,0","0,0,0,0",2
48,"Dated Iron Bhuj",3,"401,3,1,0","0,0,0,0",2
49,"Dated Bronze Bardiche",3,"401,4,4,0","0,0,0,0",2
50,"Dated Iron Bill",3,"401,33,1,0","0,0,0,0",2
51,"Dated Thunderstorm Axe",3,"401,1,1,0","0,0,0,0",2
52,"Dated Engraved Bhuj",3,"401,3,3,0","0,0,0,0",2
53,"Dated Bronze Spear",5,"501,3,1,0","0,0,0,0",2
54,"Dated Harpoon",5,"501,1,1,0","0,0,0,0",2
55,"Dated Feathered Harpoon",5,"501,1,2,0","0,0,0,0",2
56,"Dated Brass Spear",5,"501,3,5,0","0,0,0,0",2
57,"Dated Iron Spear",5,"501,3,2,0","0,0,0,0",2
58,"Dated Iron Lance",5,"501,2,1,0","0,0,0,0",2
59,"Dated Tortoiseshell Harpoon",5,"501,1,3,0","0,0,0,0",2
60,"Dated Iron Guisarme",5,"501,6,1,0","0,0,0,0",2
61,"Dated Battle Fork",5,"501,3,8,0","0,0,0,0",2
62,"Dated Heavy Iron Lance",5,"501,13,1,0","0,0,0,0",2
63,"Dated Yarzonshell Harpoon",5,"501,1,4,0","0,0,0,0",2
64,"Dated Jarl's Guisarme",5,"501,6,8,0","0,0,0,0",2
65,"Dated Banneret Lance",5,"501,2,4,0","0,0,0,0",2
66,"Dated Iron Halberd",5,"501,5,1,0","0,0,0,0",2
67,"Dated Willow Shortbow",4,"601,1,1,0","698,1,2,0",2
68,"Dated Maple Longbow",4,"601,3,1,0","698,1,2,0",2
69,"Dated Elm Shortbow",4,"601,1,2,0","698,1,2,0",2
70,"Dated Cavalry Bow",4,"601,2,1,0","698,1,1,0",2
71,"Dated Wrapped Maple Longbow",4,"601,3,6,0","698,1,2,0",2
72,"Dated Plumed Willow Shortbow",4,"601,1,3,0","698,1,2,0",2
73,"Dated Willow Composite Bow",4,"601,4,2,0","698,1,1,0",2
74,"Dated Ironclad Cavalry Bow",4,"601,2,2,0","698,1,1,0",2
75,"Dated Ash Longbow",4,"601,3,2,0","698,1,2,0",2
76,"Dated Elm Velocity Bow",4,"601,1,4,0","698,1,2,0",2
77,"Dated Weevil Bow",4,"601,4,5,0","698,1,1,0",2
78,"Dated Armored Cavalry Bow",4,"601,2,5,0","698,1,1,0",2
79,"Dated Wrapped Ash Longbow",4,"601,3,7,0","698,1,2,0",2
80,"Dated Oak Composite Bow",4,"601,4,1,0","698,1,1,0",2
81,"Dated Yew Longbow",4,"601,3,3,0","698,1,2,0",2
82,"Dated Crab Bow",4,"601,4,3,0","698,1,1,0",2
83,"Dated Maple Wand",8,"701,1,1,0","0,0,0,0",2
84,"Dated Budding Maple Wand",8,"701,1,4,0","0,0,0,0",2
85,"Dated Maple Wand of Flames",8,"701,1,8,0","0,0,0,0",2
86,"Dated Maple Wand of Gales",8,"701,1,9,0","0,0,0,0",2
87,"Dated Maple Wand of Storms",8,"701,1,10,0","0,0,0,0",2
88,"Dated Maple Wand of Tremors",8,"701,1,11,0","0,0,0,0",2
89,"Dated Maple Wand of Tides",8,"701,1,12,0","0,0,0,0",2
90,"Dated Maple Wand of Frost",8,"701,1,13,0","0,0,0,0",2
91,"Dated Willow Wand",8,"701,1,2,0","0,0,0,0",2
92,"Dated Budding Willow Wand",8,"701,1,6,0","0,0,0,0",2
93,"Dated Willow Wand of Flames",8,"701,1,8,0","0,0,0,0",2
94,"Dated Willow Wand of Gales",8,"701,1,9,0","0,0,0,0",2
95,"Dated Willow Wand of Storms",8,"701,1,10,0","0,0,0,0",2
96,"Dated Willow Wand of Tremors",8,"701,1,11,0","0,0,0,0",2
97,"Dated Willow Wand of Tides",8,"701,1,12,0","0,0,0,0",2
98,"Dated Willow Wand of Frost",8,"701,1,13,0","0,0,0,0",2
99,"Dated Walnut Wand",8,"701,1,3,0","0,0,0,0",2
100,"Dated Budding Walnut Wand",8,"701,1,5,0","0,0,0,0",2
101,"Dated Walnut Wand of Flames",8,"701,1,8,0","0,0,0,0",2
102,"Dated Walnut Wand of Gales",8,"701,1,9,0","0,0,0,0",2
103,"Dated Walnut Wand of Storms",8,"701,1,10,0","0,0,0,0",2
104,"Dated Walnut Wand of Tremors",8,"701,1,11,0","0,0,0,0",2
105,"Dated Walnut Wand of Tides",8,"701,1,12,0","0,0,0,0",2
106,"Dated Walnut Wand of Frost",8,"701,1,13,0","0,0,0,0",2
107,"Dated Ash Cane",9,"801,1,1,0","0,0,0,0",2
108,"Dated Elm Cane",9,"801,1,2,0","0,0,0,0",2
109,"Dated Pine Crook",9,"801,2,1,0","0,0,0,0",2
110,"Dated Pastoral Elm Cane",9,"801,1,3,0","0,0,0,0",2
111,"Dated Plumed Pine Crook",9,"801,2,2,0","0,0,0,0",2
112,"Dated Mahogany Radical",9,"801,3,1,0","0,0,0,0",2
113,"Dated Oak Cane",9,"801,1,4,0","0,0,0,0",2
114,"Dated Flambeau Radical",9,"801,3,4,0","0,0,0,0",2
115,"Dated Yew Crook",9,"801,2,3,0","0,0,0,0",2
116,"Dated Sprouting Radical",9,"801,3,6,0","0,0,0,0",2
117,"Dated Pastoral Oak Cane",9,"801,1,5,0","0,0,0,0",2
118,"Dated Plumed Yew Crook",9,"801,2,6,0","0,0,0,0",2
119,"Dated Jade Crook",9,"801,2,4,0","0,0,0,0",2
120,"Dated Copper Scepter",6,"901,15,2,0","0,0,0,0",2
121,"Dated Decorated Copper Scepter",6,"901,15,3,0","0,0,0,0",2
122,"Dated Brass Cudgel",6,"901,3,10,0","0,0,0,0",2
123,"Dated Silver Scepter",6,"901,15,4,0","0,0,0,0",2
124,"Dated Brand",6,"901,2,2,0","0,0,0,0",2
125,"Dated Decorated Silver Scepter",6,"901,15,5,0","0,0,0,0",2
126,"Dated Iron Cudgel",6,"901,3,1,0","0,0,0,0",2
127,"Dated Ornate Silver Scepter",6,"901,1,1,0","0,0,0,0",2
128,"Dated Wind Brand",6,"901,2,3,0","0,0,0,0",2
129,"Dated Earth Brand",6,"901,2,4,0","0,0,0,0",2
130,"Dated Lightning Brand",6,"901,2,5,0","0,0,0,0",2
131,"Dated Ice Brand",6,"901,16,1,0","0,0,0,0",2
132,"Dated Fire Brand",6,"901,16,2,0","0,0,0,0",2
133,"Dated Water Brand",6,"901,16,3,0","0,0,0,0",2
134,"Dated Bone Staff",7,"1001,1,1,0","0,0,0,0",2
135,"Dated Decorated Bone Staff",7,"1001,1,2,0","0,0,0,0",2
136,"Dated Horn Staff",7,"1001,1,3,0","0,0,0,0",2
137,"Dated Decorated Horn Staff",7,"1001,1,5,0","0,0,0,0",2
138,"Dated Square Maple Shield",11,"101,7,2,0","0,0,0,0",2
139,"Dated Bronze Hoplon",11,"101,8,1,0","0,0,0,0",2
140,"Dated Round Chestnut Shield",11,"101,2,1,0","0,0,0,0",2
141,"Dated Bronze Buckler",11,"101,5,1,0","0,0,0,0",2
142,"Dated Square Ash Shield",11,"101,7,4,0","0,0,0,0",2
143,"Dated Sheepskin Targe",11,"101,1,13,0","0,0,0,0",2
144,"Dated Bronze Pelta",11,"101,8,2,0","0,0,0,0",2
145,"Dated Warded Round Shield",11,"101,2,4,0","0,0,0,0",2
146,"Dated Ironclad Bronze Buckler",11,"101,5,2,0","0,0,0,0",2
147,"Dated Bronze Scutum",11,"101,4,1,0","0,0,0,0",2
148,"Dated Iron Hoplon",11,"101,8,3,0","0,0,0,0",2
149,"Dated Round Oak Shield",11,"101,2,2,0","0,0,0,0",2
150,"Dated Leather Targe",11,"101,1,1,0","0,0,0,0",2
151,"Dated Decorated Buckler",11,"101,5,3,0","0,0,0,0",2
152,"Dated Lantern Shield",11,"101,6,1,0","0,0,0,0",2
153,"Dated Iron Scutum",11,"101,4,2,0","0,0,0,0",2
154,"Dated Iron Pelta",11,"101,8,4,0","0,0,0,0",2
155,"Dated Serpent Shield",11,"101,2,5,0","0,0,0,0",2
